Designator,Mid X,Mid Y,Rotation,Layer
C13,13.34,41.91,0,top
C14,13.34,36.83,0,top
C3,43.18,41.27,0,top
C4,29.21,32.38,180,top
C5,26.67,40.64,270,top
C6,34.29,32.38,0,top
C7,43.18,43.82,0,top
D3,59.69,51.44,270,top
D4,13.34,50.8,180,top
LED1,22.86,54.61,90,top
LED2,52.07,53.34,270,top
R1,27.94,52.07,180,top
R10,7.62,41.91,180,top
R2,22.86,50.8,270,top
R3,52.07,48.26,270,top
R31,21.59,42.55,180,top
R32,17.78,43.18,270,top
R33,17.78,33.02,270,top
R4,26.67,35.56,270,top
R5,27.94,54.61,180,top
R6,27.94,49.53,180,top
R7,27.94,57.15,180,top
R8,41.91,38.1,270,top
R9,7.62,36.83,180,top
S1,35.56,53.34,90,top
