Freq.	I(Ldrive)
1.00000000000000e+003	3.02498934760616e-003,3.67818236255588e-002
1.00230523807790e+003	3.04344881868593e-003,3.68952474064311e-002
1.00461579027840e+003	3.06204511438134e-003,3.70091715987454e-002
1.00693166885180e+003	3.08077951274610e-003,3.71235995626363e-002
1.00925288607668e+003	3.09965330672346e-003,3.72385346891847e-002
1.01157945425990e+003	3.11866780435472e-003,3.73539804007720e-002
1.01391138573668e+003	3.13782432899194e-003,3.74699401514382e-002
1.01624869287070e+003	3.15712421951390e-003,3.75864174272450e-002
1.01859138805412e+003	3.17656883054557e-003,3.77034157466438e-002
1.02093948370768e+003	3.19615953268105e-003,3.78209386608493e-002
1.02329299228075e+003	3.21589771271058e-003,3.79389897542170e-002
1.02565192625141e+003	3.23578477385110e-003,3.80575726446269e-002
1.02801629812647e+003	3.25582213598020e-003,3.81766909838722e-002
1.03038612044162e+003	3.27601123587537e-003,3.82963484580530e-002
1.03276140576140e+003	3.29635352745511e-003,3.84165487879757e-002
1.03514216667934e+003	3.31685048202617e-003,3.85372957295578e-002
1.03752841581801e+003	3.33750358853341e-003,3.86585930742391e-002
1.03992016582906e+003	3.35831435381514e-003,3.87804446493960e-002
1.04231742939330e+003	3.37928430286116e-003,3.89028543187656e-002
1.04472021922080e+003	3.40041497907712e-003,3.90258259828714e-002
1.04712854805090e+003	3.42170794455168e-003,3.91493635794584e-002
1.04954242865232e+003	3.44316478032887e-003,3.92734710839326e-002
1.05196187382322e+003	3.46478708668557e-003,3.93981525098061e-002
1.05438689639126e+003	3.48657648341245e-003,3.95234119091502e-002
1.05681750921366e+003	3.50853461010142e-003,3.96492533730532e-002
1.05925372517729e+003	3.53066312643627e-003,3.97756810320854e-002
1.06169555719872e+003	3.55296371248939e-003,3.99026990567715e-002
1.06414301822431e+003	3.57543806902365e-003,4.00303116580673e-002
1.06659612123026e+003	3.59808791779866e-003,4.01585230878453e-002
1.06905487922266e+003	3.62091500188311e-003,4.02873376393869e-002
1.07151930523761e+003	3.64392108597227e-003,4.04167596478805e-002
1.07398941234124e+003	3.66710795671070e-003,4.05467934909274e-002
1.07646521362983e+003	3.69047742302142e-003,4.06774435890558e-002
1.07894672222983e+003	3.71403131643980e-003,4.08087144062397e-002
1.08143395129794e+003	3.73777149145380e-003,4.09406104504285e-002
1.08392691402120e+003	3.76169982585042e-003,4.10731362740808e-002
1.08642562361706e+003	3.78581822106818e-003,4.12062964747089e-002
1.08893009333343e+003	3.81012860255489e-003,4.13400956954297e-002
1.09144033644875e+003	3.83463292013348e-003,4.14745386255227e-002
1.09395636627209e+003	3.85933314837221e-003,4.16096300009981e-002
1.09647819614318e+003	3.88423128696400e-003,4.17453746051715e-002
1.09900583943252e+003	3.90932936110940e-003,4.18817772692487e-002
1.10153930954141e+003	3.93462942190983e-003,4.20188428729160e-002
1.10407861990207e+003	3.96013354676482e-003,4.21565763449431e-002
1.10662378397766e+003	3.98584383977853e-003,4.22949826637913e-002
1.10917481526240e+003	4.01176243217224e-003,4.24340668582329e-002
1.11173172728159e+003	4.03789148270502e-003,4.25738340079787e-002
