Freq.	I(Ldrive)
1.00000000000000e+003	(-2.86580595789133e+001dB,8.52984945522573e+001°)
1.00230523807790e+003	(-2.86311403241629e+001dB,8.52844097637592e+001°)
1.00461579027840e+003	(-2.86041844341919e+001dB,8.52702651500077e+001°)
1.00693166885180e+003	(-2.85771916899355e+001dB,8.52560603164408e+001°)
1.00925288607668e+003	(-2.85501618707519e+001dB,8.52417948648228e+001°)
1.01157945425990e+003	(-2.85230947544086e+001dB,8.52274683932023e+001°)
1.01391138573668e+003	(-2.84959901170676e+001dB,8.52130804958678e+001°)
1.01624869287070e+003	(-2.84688477332712e+001dB,8.51986307633030e+001°)
1.01859138805412e+003	(-2.84416673759269e+001dB,8.51841187821423e+001°)
1.02093948370768e+003	(-2.84144488162928e+001dB,8.51695441351247e+001°)
1.02329299228075e+003	(-2.83871918239627e+001dB,8.51549064010476e+001°)
1.02565192625141e+003	(-2.83598961668505e+001dB,8.51402051547197e+001°)
1.02801629812647e+003	(-2.83325616111751e+001dB,8.51254399669139e+001°)
1.03038612044162e+003	(-2.83051879214447e+001dB,8.51106104043174e+001°)
1.03276140576140e+003	(-2.82777748604413e+001dB,8.50957160294849e+001°)
1.03514216667934e+003	(-2.82503221892044e+001dB,8.50807564007867e+001°)
1.03752841581801e+003	(-2.82228296670152e+001dB,8.50657310723600e+001°)
1.03992016582906e+003	(-2.81952970513803e+001dB,8.50506395940559e+001°)
1.04231742939330e+003	(-2.81677240980152e+001dB,8.50354815113893e+001°)
1.04472021922080e+003	(-2.81401105608274e+001dB,8.50202563654847e+001°)
1.04712854805090e+003	(-2.81124561919002e+001dB,8.50049636930234e+001°)
1.04954242865232e+003	(-2.80847607414747e+001dB,8.49896030261896e+001°)
1.05196187382322e+003	(-2.80570239579335e+001dB,8.49741738926143e+001°)
1.05438689639126e+003	(-2.80292455877825e+001dB,8.49586758153207e+001°)
1.05681750921366e+003	(-2.80014253756338e+001dB,8.49431083126663e+001°)
1.05925372517729e+003	(-2.79735630641876e+001dB,8.49274708982865e+001°)
1.06169555719872e+003	(-2.79456583942141e+001dB,8.49117630810356e+001°)
1.06414301822431e+003	(-2.79177111045353e+001dB,8.48959843649276e+001°)
1.06659612123026e+003	(-2.78897209320064e+001dB,8.48801342490762e+001°)
1.06905487922266e+003	(-2.78616876114973e+001dB,8.48642122276342e+001°)
1.07151930523761e+003	(-2.78336108758736e+001dB,8.48482177897307e+001°)
1.07398941234124e+003	(-2.78054904559773e+001dB,8.48321504194092e+001°)
1.07646521362983e+003	(-2.77773260806073e+001dB,8.48160095955632e+001°)
1.07894672222983e+003	(-2.77491174765004e+001dB,8.47997947918717e+001°)
1.08143395129794e+003	(-2.77208643683107e+001dB,8.47835054767337e+001°)
1.08392691402120e+003	(-2.76925664785901e+001dB,8.47671411132013e+001°)
1.08642562361706e+003	(-2.76642235277674e+001dB,8.47507011589115e+001°)
1.08893009333343e+003	(-2.76358352341284e+001dB,8.47341850660188e+001°)
1.09144033644875e+003	(-2.76074013137944e+001dB,8.47175922811237e+001°)
1.09395636627209e+003	(-2.75789214807017e+001dB,8.47009222452037e+001°)
1.09647819614318e+003	(-2.75503954465800e+001dB,8.46841743935392e+001°)
1.09900583943252e+003	(-2.75218229209305e+001dB,8.46673481556432e+001°)
1.10153930954141e+003	(-2.74932036110048e+001dB,8.46504429551844e+001°)
1.10407861990207e+003	(-2.74645372217821e+001dB,8.46334582099139e+001°)
1.10662378397766e+003	(-2.74358234559472e+001dB,8.46163933315875e+001°)
1.10917481526240e+003	(-2.74070620138677e+001dB,8.45992477258891e+001°)
1.11173172728159e+003	(-2.73782525935710e+001dB,8.45820207923511e+001°)
1.11429453359173e+003	(-2.73493948907212e+001dB,8.45647119242745e+001°)
1.11686324778056e+003	(-2.73204885985954e+001dB,8.45473205086478e+001°)
1.11943788346715e+003	(-2.72915334080604e+001dB,8.45298459260645e+001°)
1.12201845430196e+003	(-2.72625290075479e+001dB,8.45122875506384e+001°)
1.12460497396692e+003	(-2.72334750830303e+001dB,8.44946447499198e+001°)
1.12719745617551e+003	(-2.72043713179968e+001dB,8.44769168848076e+001°)
1.12979591467279e+003	(-2.71752173934270e+001dB,8.44591033094618e+001°)
1.13240036323555e+003	(-2.71460129877667e+001dB,8.44412033712153e+001°)
1.13501081567231e+003	(-2.71167577769019e+001dB,8.44232164104816e+001°)
1.13762728582343e+003	(-2.70874514341327e+001dB,8.44051417606630e+001°)
1.14024978756117e+003	(-2.70580936301471e+001dB,8.43869787480581e+001°)
1.14287833478977e+003	(-2.70286840329945e+001dB,8.43687266917652e+001°)
1.14551294144553e+003	(-2.69992223080584e+001dB,8.43503849035865e+001°)
1.14815362149688e+003	(-2.69697081180298e+001dB,8.43319526879300e+001°)
1.15080038894443e+003	(-2.69401411228786e+001dB,8.43134293417085e+001°)
1.15345325782109e+003	(-2.69105209798264e+001dB,8.42948141542402e+001°)
1.15611224219210e+003	(-2.68808473433177e+001dB,8.42761064071440e+001°)
1.15877735615512e+003	(-2.68511198649915e+001dB,8.42573053742352e+001°)
