Freq.	I(Ldrive)
1.00000000000000e+003	1.54772684983858e-003,3.44982791894736e-002
1.00230523807790e+003	1.55623255922824e-003,3.45933948638469e-002
1.00461579027840e+003	1.56479193555057e-003,3.46888513077840e-002
1.00693166885180e+003	1.57340538815261e-003,3.47846503218971e-002
1.00925288607668e+003	1.58207333022734e-003,3.48807937202942e-002
1.01157945425990e+003	1.59079617885703e-003,3.49772833307050e-002
1.01391138573668e+003	1.59957435505772e-003,3.50741209946118e-002
1.01624869287070e+003	1.60840828382408e-003,3.51713085673804e-002
1.01859138805412e+003	1.61729839417456e-003,3.52688479183926e-002
1.02093948370768e+003	1.62624511919800e-003,3.53667409311805e-002
1.02329299228075e+003	1.63524889609985e-003,3.54649895035621e-002
1.02565192625141e+003	1.64431016624964e-003,3.55635955477784e-002
1.02801629812647e+003	1.65342937522902e-003,3.56625609906327e-002
1.03038612044162e+003	1.66260697288009e-003,3.57618877736297e-002
1.03276140576140e+003	1.67184341335500e-003,3.58615778531194e-002
1.03514216667934e+003	1.68113915516578e-003,3.59616332004390e-002
1.03752841581801e+003	1.69049466123456e-003,3.60620558020592e-002
1.03992016582906e+003	1.69991039894539e-003,3.61628476597304e-002
1.04231742939330e+003	1.70938684019608e-003,3.62640107906320e-002
1.04472021922080e+003	1.71892446145062e-003,3.63655472275228e-002
1.04712854805090e+003	1.72852374379268e-003,3.64674590188922e-002
1.04954242865232e+003	1.73818517298024e-003,3.65697482291151e-002
1.05196187382322e+003	1.74790923949995e-003,3.66724169386070e-002
1.05438689639126e+003	1.75769643862277e-003,3.67754672439818e-002
1.05681750921366e+003	1.76754727046068e-003,3.68789012582104e-002
1.05925372517729e+003	1.77746224002389e-003,3.69827211107836e-002
1.06169555719872e+003	1.78744185727855e-003,3.70869289478729e-002
1.06414301822431e+003	1.79748663720578e-003,3.71915269324973e-002
1.06659612123026e+003	1.80759709986090e-003,3.72965172446892e-002
1.06905487922266e+003	1.81777377043458e-003,3.74019020816640e-002
1.07151930523761e+003	1.82801717931336e-003,3.75076836579903e-002
1.07398941234124e+003	1.83832786214225e-003,3.76138642057636e-002
1.07646521362983e+003	1.84870635988780e-003,3.77204459747809e-002
1.07894672222983e+003	1.85915321890136e-003,3.78274312327172e-002
1.08143395129794e+003	1.86966899098480e-003,3.79348222653058e-002
1.08392691402120e+003	1.88025423345533e-003,3.80426213765187e-002
1.08642562361706e+003	1.89090950921286e-003,3.81508308887505e-002
1.08893009333343e+003	1.90163538680711e-003,3.82594531430041e-002
1.09144033644875e+003	1.91243244050630e-003,3.83684904990781e-002
1.09395636627209e+003	1.92330125036662e-003,3.84779453357575e-002
1.09647819614318e+003	1.93424240230307e-003,3.85878200510059e-002
1.09900583943252e+003	1.94525648815998e-003,3.86981170621603e-002
1.10153930954141e+003	1.95634410578500e-003,3.88088388061279e-002
1.10407861990207e+003	1.96750585910117e-003,3.89199877395867e-002
1.10662378397766e+003	1.97874235818294e-003,3.90315663391856e-002
1.10917481526240e+003	1.99005421933045e-003,3.91435771017510e-002
1.11173172728159e+003	2.00144206514783e-003,3.92560225444911e-002
1.11429453359173e+003	2.01290652461938e-003,3.93689052052081e-002
1.11686324778056e+003	2.02444823319027e-003,3.94822276425074e-002
1.11943788346715e+003	2.03606783284565e-003,3.95959924360146e-002
1.12201845430196e+003	2.04776597219208e-003,3.97102021865908e-002
1.12460497396692e+003	2.05954330654057e-003,3.98248595165537e-002
1.12719745617551e+003	2.07140049798992e-003,3.99399670698995e-002
1.12979591467279e+003	2.08333821551151e-003,4.00555275125282e-002
1.13240036323555e+003	2.09535713503564e-003,4.01715435324722e-002
1.13501081567231e+003	2.10745793953940e-003,4.02880178401272e-002
1.13762728582343e+003	2.11964131913474e-003,4.04049531684850e-002
1.14024978756117e+003	2.13190797115874e-003,4.05223522733712e-002
1.14287833478977e+003	2.14425860026533e-003,4.06402179336851e-002
1.14551294144553e+003	2.15669391851753e-003,4.07585529516412e-002
1.14815362149688e+003	2.16921464548180e-003,4.08773601530160e-002
1.15080038894443e+003	2.18182150832372e-003,4.09966423873961e-002
1.15345325782109e+003	2.19451524190426e-003,4.11164025284301e-002
1.15611224219210e+003	2.20729658887910e-003,4.12366434740845e-002
1.15877735615512e+003	2.22016629979747e-003,4.13573681469007e-002
1.16144861384034e+003	2.23312513320455e-003,4.14785794942579e-002
1.16412602941049e+003	2.24617385574333e-003,4.16002804886367e-002
1.16680961706096e+003	2.25931324225961e-003,4.17224741278888e-002
1.16949939101987e+003	2.27254407590799e-003,4.18451634355064e-002
1.17219536554813e+003	2.28586714825918e-003,4.19683514609004e-002
1.17489755493953e+003	2.29928325940921e-003,4.20920412796762e-002
1.17760597352080e+003	2.31279321809076e-003,4.22162359939174e-002
1.18032063565173e+003	2.32639784178520e-003,4.23409387324710e-002
1.18304155572516e+003	2.34009795683737e-003,4.24661526512377e-002
1.18576874816716e+003	2.35389439857087e-003,4.25918809334641e-002
1.18850222743701e+003	2.36778801140670e-003,4.27181267900402e-002
1.19124200802737e+003	2.38177964898244e-003,4.28448934598004e-002
1.19398810446427e+003	2.39587017427365e-003,4.29721842098276e-002
1.19674053130724e+003	2.41006045971767e-003,4.31000023357627e-002
1.19949930314937e+003	2.42435138733790e-003,4.32283511621173e-002
1.20226443461741e+003	2.43874384887194e-003,4.33572340425888e-002
1.20503594037179e+003	2.45323874590055e-003,4.34866543603840e-002
1.20781383510678e+003	2.46783698997814e-003,4.36166155285420e-002
1.21059813355048e+003	2.48253950276691e-003,4.37471209902656e-002
1.21338885046497e+003	2.49734721617121e-003,4.38781742192521e-002
1.21618600064636e+003	2.51226107247585e-003,4.40097787200348e-002
1.21898959892486e+003	2.52728202448483e-003,4.41419380283233e-002
1.22179966016487e+003	2.54241103566367e-003,4.42746557113517e-002
1.22461619926504e+003	2.55764908028304e-003,4.44079353682291e-002
1.22743923115840e+003	2.57299714356524e-003,4.45417806302979e-002
1.23026877081238e+003	2.58845622183243e-003,4.46761951614930e-002
1.23310483322890e+003	2.60402732265829e-003,4.48111826587094e-002
1.23594743344450e+003	2.61971146502023e-003,4.49467468521717e-002
1.23879658653036e+003	2.63550967945632e-003,4.50828915058107e-002
1.24165230759241e+003	2.65142300822271e-003,4.52196204176441e-002
1.24451461177138e+003	2.66745250545485e-003,4.53569374201621e-002
1.24738351424294e+003	2.68359923733064e-003,4.54948463807196e-002
1.25025903021771e+003	2.69986428223649e-003,4.56333512019317e-002
1.25314117494141e+003	2.71624873093627e-003,4.57724558220759e-002
1.25602996369487e+003	2.73275368674231e-003,4.59121642154992e-002
1.25892541179416e+003	2.74938026568950e-003,4.60524803930314e-002
1.26182753459066e+003	2.76612959671291e-003,4.61934084024032e-002
1.26473634747115e+003	2.78300282182730e-003,4.63349523286709e-002
1.26765186585784e+003	2.80000109630950e-003,4.64771162946453e-002
1.27057410520854e+003	2.81712558888497e-003,4.66199044613289e-002
1.27350308101666e+003	2.83437748191628e-003,4.67633210283569e-002
1.27643880881134e+003	2.85175797159502e-003,4.69073702344456e-002
1.27938130415752e+003	2.86926826813689e-003,4.70520563578467e-002
1.28233058265601e+003	2.88690959598027e-003,4.71973837168069e-002
1.28528665994361e+003	2.90468319398743e-003,4.73433566700358e-002
1.28824955169313e+003	2.92259031564991e-003,4.74899796171790e-002
1.29121927361353e+003	2.94063222929671e-003,4.76372569992972e-002
1.29419584144998e+003	2.95881021830585e-003,4.77851932993541e-002
1.29717927098395e+003	2.97712558131966e-003,4.79337930427085e-002
1.30016957803328e+003	2.99557963246451e-003,4.80830607976159e-002
1.30316677845229e+003	3.01417370157261e-003,4.82330011757352e-002
1.30617088813183e+003	3.03290913440880e-003,4.83836188326430e-002
1.30918192299940e+003	3.05178729290049e-003,4.85349184683566e-002
1.31219989901920e+003	3.07080955537178e-003,4.86869048278612e-002
